sample_id,cluster_label
0,0
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,0
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,3
18,-1
19,-1
20,-1
21,1
22,0
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,0
31,-1
32,0
33,1
34,-1
35,-1
36,-1
37,-1
38,0
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,1
46,2
47,0
48,-1
49,3
50,-1
51,-1
52,1
53,-1
54,2
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,-1
70,2
71,-1
72,4
73,0
74,-1
75,-1
76,-1
77,1
78,-1
79,-1
80,-1
81,-1
82,0
83,1
84,0
85,0
86,1
87,-1
88,-1
89,-1
90,-1
91,-1
92,-1
93,-1
94,-1
95,-1
96,-1
97,-1
98,-1
99,1
100,-1
101,-1
102,-1
103,-1
104,0
105,-1
106,-1
107,0
108,-1
109,-1
110,-1
111,1
112,-1
113,0
114,-1
115,-1
116,-1
117,-1
118,-1
119,-1
120,-1
121,4
122,-1
123,-1
124,-1
125,4
126,-1
127,-1
128,-1
129,-1
130,-1
131,-1
132,-1
133,-1
134,-1
135,0
136,1
137,-1
138,-1
139,-1
140,-1
141,-1
142,0
143,1
144,-1
145,-1
146,-1
147,-1
148,4
149,-1
150,-1
151,0
152,-1
153,-1
154,-1
155,4
156,-1
157,-1
158,0
159,-1
160,-1
161,-1
162,4
163,-1
164,3
165,-1
166,3
167,-1
168,-1
169,-1
170,-1
171,-1
172,-1
173,-1
174,1
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,-1
182,2
183,1
184,-1
185,-1
186,-1
187,-1
188,1
189,-1
190,-1
191,-1
192,-1
193,-1
194,-1
195,0
196,-1
197,-1
198,-1
199,-1
200,0
201,-1
202,-1
203,-1
204,-1
205,-1
206,-1
207,4
208,-1
209,3
210,4
211,1
212,-1
213,-1
214,-1
215,-1
216,-1
217,1
218,-1
219,0
220,-1
221,-1
222,0
223,2
224,0
225,-1
226,-1
227,-1
228,-1
229,-1
230,-1
231,-1
232,1
233,-1
234,-1
235,-1
236,-1
237,-1
238,-1
239,0
240,-1
241,0
242,-1
243,-1
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,-1
251,-1
252,-1
253,-1
254,-1
255,-1
256,4
257,0
258,-1
259,-1
260,-1
261,2
262,-1
263,-1
264,-1
265,-1
266,-1
267,-1
268,0
269,0
270,-1
271,-1
272,1
273,4
274,-1
275,-1
276,2
277,1
278,-1
279,-1
280,-1
281,-1
282,-1
283,-1
284,0
285,-1
286,-1
287,-1
288,1
289,-1
290,-1
291,-1
292,1
293,-1
294,0
295,-1
296,-1
297,0
298,1
299,-1
300,0
301,-1
302,-1
303,-1
304,-1
305,-1
306,-1
307,-1
308,-1
309,-1
310,0
311,-1
312,1
313,4
314,-1
315,-1
316,0
317,0
318,-1
319,-1
320,-1
321,-1
322,0
323,-1
324,1
325,-1
326,1
327,-1
328,0
329,1
330,-1
331,-1
332,-1
333,-1
334,-1
335,3
336,-1
337,-1
338,1
339,-1
340,-1
341,1
342,1
343,-1
344,0
345,1
346,-1
347,-1
348,2
349,0
350,-1
351,-1
352,4
353,-1
354,0
355,4
356,-1
357,-1
358,1
359,-1
360,-1
361,-1
362,2
363,-1
364,-1
365,-1
366,-1
367,-1
368,0
369,-1
370,-1
371,-1
372,-1
373,-1
374,-1
375,2
376,-1
377,-1
378,0
379,2
380,-1
381,1
382,-1
383,-1
384,-1
385,1
386,-1
387,-1
388,-1
389,-1
390,-1
391,0
392,-1
393,4
394,-1
395,0
396,-1
397,-1
398,-1
399,-1
400,4
401,-1
402,-1
403,-1
404,-1
405,4
406,-1
407,-1
408,-1
409,-1
410,-1
411,-1
412,-1
413,-1
414,-1
415,-1
416,-1
417,-1
418,-1
419,-1
420,-1
421,1
422,-1
423,-1
424,-1
425,-1
426,4
427,-1
428,-1
429,-1
430,-1
431,-1
432,-1
433,-1
434,-1
435,-1
436,-1
437,-1
438,-1
439,-1
440,2
441,-1
442,3
443,0
444,-1
445,-1
446,-1
447,-1
448,-1
449,-1
450,-1
451,-1
452,-1
453,-1
454,-1
455,4
456,-1
457,-1
458,-1
459,-1
460,-1
461,-1
462,0
463,-1
464,0
465,3
466,4
467,-1
468,-1
469,-1
470,-1
471,2
472,-1
473,-1
474,-1
475,4
476,-1
477,-1
478,-1
479,0
480,-1
481,0
482,-1
483,-1
484,-1
485,-1
486,0
487,0
488,-1
489,1
490,-1
491,-1
492,-1
493,-1
494,0
495,3
496,-1
497,-1
498,-1
499,-1
500,-1
501,2
502,-1
503,-1
504,0
505,-1
506,3
507,-1
508,-1
509,1
510,-1
511,4
512,-1
513,4
514,4
515,4
516,-1
517,-1
518,-1
519,0
520,-1
521,1
522,-1
523,3
524,2
525,-1
526,-1
527,-1
528,-1
529,-1
530,0
531,-1
532,-1
533,-1
534,-1
535,-1
536,0
537,-1
538,-1
539,3
540,-1
541,2
542,0
543,2
544,-1
545,-1
546,-1
547,1
548,-1
549,-1
550,-1
551,4
552,-1
553,-1
554,0
555,-1
556,-1
557,-1
558,-1
559,3
560,-1
561,-1
562,-1
563,-1
564,-1
565,4
566,3
567,-1
568,4
569,-1
570,3
571,-1
572,-1
573,-1
574,-1
575,-1
576,-1
577,-1
578,-1
579,-1
580,-1
581,-1
582,-1
583,0
584,4
585,2
586,-1
587,-1
588,-1
589,4
590,-1
591,4
592,0
593,1
594,-1
595,-1
596,-1
597,0
598,4
599,2
600,-1
601,-1
602,-1
603,-1
604,-1
605,-1
606,-1
607,0
608,-1
609,-1
610,-1
611,-1
612,-1
613,-1
614,-1
615,-1
616,-1
617,1
618,-1
619,-1
620,-1
621,1
622,-1
623,-1
624,-1
625,3
626,-1
627,-1
628,-1
629,-1
630,-1
631,-1
632,0
633,-1
634,0
635,-1
636,-1
637,-1
638,0
639,3
640,-1
641,-1
642,-1
643,-1
644,-1
645,-1
646,0
647,-1
648,-1
649,-1
650,-1
651,2
652,-1
653,-1
654,2
655,-1
656,0
657,0
658,-1
659,2
660,-1
661,-1
662,-1
663,-1
664,-1
665,1
666,-1
667,-1
668,-1
669,4
670,0
671,-1
672,-1
673,-1
674,-1
675,4
676,-1
677,-1
678,-1
679,1
680,-1
681,-1
682,-1
683,-1
684,-1
685,1
686,0
687,-1
688,-1
689,4
690,3
691,-1
692,-1
693,-1
694,-1
695,-1
696,-1
697,-1
698,-1
699,-1
700,-1
701,2
702,-1
703,-1
704,4
705,-1
706,-1
707,-1
708,-1
709,-1
710,4
711,-1
712,4
713,-1
714,-1
715,-1
716,-1
717,-1
718,3
719,4
720,-1
721,-1
722,-1
723,-1
724,3
725,-1
726,1
727,2
728,-1
729,-1
730,-1
731,4
732,-1
733,-1
734,-1
735,3
736,-1
737,4
738,-1
739,-1
740,-1
741,-1
742,3
743,-1
744,-1
745,-1
746,0
747,-1
748,-1
749,-1
750,3
751,3
752,3
753,3
754,3
755,3
756,3
757,3
758,3
759,3
760,3
761,3
762,3
763,3
764,3
765,3
766,3
767,3
768,3
769,3
770,3
771,3
772,3
773,3
774,3
775,3
776,3
777,3
778,3
779,3
780,3
781,-1
782,3
783,3
784,3
785,3
786,3
787,3
788,3
789,3
790,3
791,3
792,3
793,3
794,3
795,3
796,3
797,3
798,-1
799,3
800,3
801,3
802,3
803,3
804,-1
805,3
806,3
807,3
808,3
809,3
810,3
811,3
812,3
813,3
814,3
815,3
816,3
817,3
818,3
819,3
820,3
821,3
822,3
823,3
824,3
825,3
826,3
827,3
828,3
829,3
830,3
831,3
832,3
833,3
834,3
835,3
836,3
837,3
838,3
839,3
840,3
841,3
842,3
843,3
844,3
845,3
846,3
847,3
848,3
849,3
850,3
851,3
852,3
853,3
854,3
855,3
856,3
857,3
858,3
859,3
860,3
861,3
862,3
863,3
864,3
865,3
866,3
867,3
868,3
869,3
870,3
871,3
872,-1
873,3
874,3
875,3
876,3
877,3
878,3
879,3
880,3
881,3
882,3
883,3
884,3
885,3
886,3
887,3
888,3
889,3
890,3
891,3
892,3
893,3
894,3
895,3
896,-1
897,3
898,3
899,3
900,3
901,3
902,3
903,3
904,3
905,3
906,3
907,3
908,3
909,3
910,3
911,3
912,3
913,3
914,-1
915,3
916,3
917,3
918,3
919,3
920,3
921,3
922,3
923,3
924,3
925,3
926,3
927,3
928,3
929,3
930,3
931,3
932,3
933,3
934,3
935,3
